word;definition;synonym;part of speech;difficulty
word_770;definition of word_770;synonym of word_770;noun;C2
word_771;definition of word_771;synonym of word_771;noun;B1
word_772;definition of word_772;synonym of word_772;noun;C2
word_773;definition of word_773;synonym of word_773;noun;B1
word_774;definition of word_774;synonym of word_774;noun;C2
word_775;definition of word_775;synonym of word_775;noun;B1
word_776;definition of word_776;synonym of word_776;noun;C2
word_777;definition of word_777;synonym of word_777;noun;B1
word_778;definition of word_778;synonym of word_778;noun;C2
word_779;definition of word_779;synonym of word_779;noun;B1
word_780;definition of word_780;synonym of word_780;noun;C2
word_781;definition of word_781;synonym of word_781;noun;B1
word_782;definition of word_782;synonym of word_782;noun;C2
word_783;definition of word_783;synonym of word_783;noun;B1
word_784;definition of word_784;synonym of word_784;noun;C2
word_785;definition of word_785;synonym of word_785;noun;B1
word_786;definition of word_786;synonym of word_786;noun;C2
word_787;definition of word_787;synonym of word_787;noun;B1
word_788;definition of word_788;synonym of word_788;noun;C2
word_789;definition of word_789;synonym of word_789;noun;B1
word_790;definition of word_790;synonym of word_790;noun;C2
word_791;definition of word_791;synonym of word_791;noun;B1
word_792;definition of word_792;synonym of word_792;noun;C2
word_793;definition of word_793;synonym of word_793;noun;B1
word_794;definition of word_794;synonym of word_794;noun;C2
word_795;definition of word_795;synonym of word_795;noun;B1
word_796;definition of word_796;synonym of word_796;noun;C2
word_797;definition of word_797;synonym of word_797;noun;B1
word_798;definition of word_798;synonym of word_798;noun;C2
word_799;definition of word_799;synonym of word_799;noun;B1
word_800;definition of word_800;synonym of word_800;noun;C2
word_801;definition of word_801;synonym of word_801;noun;B1
word_802;definition of word_802;synonym of word_802;noun;C2
word_803;definition of word_803;synonym of word_803;noun;B1
word_804;definition of word_804;synonym of word_804;noun;C2
word_805;definition of word_805;synonym of word_805;noun;B1
word_806;definition of word_806;synonym of word_806;noun;C2
word_807;definition of word_807;synonym of word_807;noun;B1
word_808;definition of word_808;synonym of word_808;noun;C2
word_809;definition of word_809;synonym of word_809;noun;B1
word_810;definition of word_810;synonym of word_810;noun;C2
word_811;definition of word_811;synonym of word_811;noun;B1
word_812;definition of word_812;synonym of word_812;noun;C2
word_813;definition of word_813;synonym of word_813;noun;B1
word_814;definition of word_814;synonym of word_814;noun;C2
word_815;definition of word_815;synonym of word_815;noun;B1
word_816;definition of word_816;synonym of word_816;noun;C2
word_817;definition of word_817;synonym of word_817;noun;B1
word_818;definition of word_818;synonym of word_818;noun;C2
word_819;definition of word_819;synonym of word_819;noun;B1
word_820;definition of word_820;synonym of word_820;noun;C2
word_821;definition of word_821;synonym of word_821;noun;B1
word_822;definition of word_822;synonym of word_822;noun;C2
word_823;definition of word_823;synonym of word_823;noun;B1
word_824;definition of word_824;synonym of word_824;noun;C2
word_825;definition of word_825;synonym of word_825;noun;B1
word_826;definition of word_826;synonym of word_826;noun;C2
word_827;definition of word_827;synonym of word_827;noun;B1
word_828;definition of word_828;synonym of word_828;noun;C2
word_829;definition of word_829;synonym of word_829;noun;B1
word_830;definition of word_830;synonym of word_830;noun;C2
word_831;definition of word_831;synonym of word_831;noun;B1
word_832;definition of word_832;synonym of word_832;noun;C2
word_833;definition of word_833;synonym of word_833;noun;B1
word_834;definition of word_834;synonym of word_834;noun;C2
word_835;definition of word_835;synonym of word_835;noun;B1
word_836;definition of word_836;synonym of word_836;noun;C2
word_837;definition of word_837;synonym of word_837;noun;B1
word_838;definition of word_838;synonym of word_838;noun;C2
word_839;definition of word_839;synonym of word_839;noun;B1
word_840;definition of word_840;synonym of word_840;noun;C2
word_841;definition of word_841;synonym of word_841;noun;B1
word_842;definition of word_842;synonym of word_842;noun;C2
word_843;definition of word_843;synonym of word_843;noun;B1
word_844;definition of word_844;synonym of word_844;noun;C2
word_845;definition of word_845;synonym of word_845;noun;B1
word_846;definition of word_846;synonym of word_846;noun;C2
word_847;definition of word_847;synonym of word_847;noun;B1
word_848;definition of word_848;synonym of word_848;noun;C2
word_849;definition of word_849;synonym of word_849;noun;B1
word_850;definition of word_850;synonym of word_850;noun;C2
word_851;definition of word_851;synonym of word_851;noun;B1
word_852;definition of word_852;synonym of word_852;noun;C2
word_853;definition of word_853;synonym of word_853;noun;B1
word_854;definition of word_854;synonym of word_854;noun;C2
word_855;definition of word_855;synonym of word_855;noun;B1
word_856;definition of word_856;synonym of word_856;noun;C2
word_857;definition of word_857;synonym of word_857;noun;B1
word_858;definition of word_858;synonym of word_858;noun;C2
word_859;definition of word_859;synonym of word_859;noun;B1
word_860;definition of word_860;synonym of word_860;noun;C2
word_861;definition of word_861;synonym of word_861;noun;B1
word_862;definition of word_862;synonym of word_862;noun;C2
word_863;definition of word_863;synonym of word_863;noun;B1
word_864;definition of word_864;synonym of word_864;noun;C2
word_865;definition of word_865;synonym of word_865;noun;B1
word_866;definition of word_866;synonym of word_866;noun;C2
word_867;definition of word_867;synonym of word_867;noun;B1
word_868;definition of word_868;synonym of word_868;noun;C2
word_869;definition of word_869;synonym of word_869;noun;B1
word_870;definition of word_870;synonym of word_870;noun;C2
word_871;definition of word_871;synonym of word_871;noun;B1
word_872;definition of word_872;synonym of word_872;noun;C2
word_873;definition of word_873;synonym of word_873;noun;B1
word_874;definition of word_874;synonym of word_874;noun;C2
word_875;definition of word_875;synonym of word_875;noun;B1
word_876;definition of word_876;synonym of word_876;noun;C2
word_877;definition of word_877;synonym of word_877;noun;B1
word_878;definition of word_878;synonym of word_878;noun;C2
word_879;definition of word_879;synonym of word_879;noun;B1
word_880;definition of word_880;synonym of word_880;noun;C2
word_881;definition of word_881;synonym of word_881;noun;B1
word_882;definition of word_882;synonym of word_882;noun;C2
word_883;definition of word_883;synonym of word_883;noun;B1
word_884;definition of word_884;synonym of word_884;noun;C2
word_885;definition of word_885;synonym of word_885;noun;B1
word_886;definition of word_886;synonym of word_886;noun;C2
word_887;definition of word_887;synonym of word_887;noun;B1
word_888;definition of word_888;synonym of word_888;noun;C2
word_889;definition of word_889;synonym of word_889;noun;B1
word_890;definition of word_890;synonym of word_890;noun;C2
word_891;definition of word_891;synonym of word_891;noun;B1
word_892;definition of word_892;synonym of word_892;noun;C2
word_893;definition of word_893;synonym of word_893;noun;B1
word_894;definition of word_894;synonym of word_894;noun;C2
word_895;definition of word_895;synonym of word_895;noun;B1
word_896;definition of word_896;synonym of word_896;noun;C2
word_897;definition of word_897;synonym of word_897;noun;B1
word_898;definition of word_898;synonym of word_898;noun;C2
word_899;definition of word_899;synonym of word_899;noun;B1
word_900;definition of word_900;synonym of word_900;noun;C2
word_901;definition of word_901;synonym of word_901;noun;B1
word_902;definition of word_902;synonym of word_902;noun;C2
word_903;definition of word_903;synonym of word_903;noun;B1
word_904;definition of word_904;synonym of word_904;noun;C2
word_905;definition of word_905;synonym of word_905;noun;B1
word_906;definition of word_906;synonym of word_906;noun;C2
word_907;definition of word_907;synonym of word_907;noun;B1
word_908;definition of word_908;synonym of word_908;noun;C2
word_909;definition of word_909;synonym of word_909;noun;B1
word_910;definition of word_910;synonym of word_910;noun;C2
word_911;definition of word_911;synonym of word_911;noun;B1
word_912;definition of word_912;synonym of word_912;noun;C2
word_913;definition of word_913;synonym of word_913;noun;B1
word_914;definition of word_914;synonym of word_914;noun;C2
word_915;definition of word_915;synonym of word_915;noun;B1
word_916;definition of word_916;synonym of word_916;noun;C2
word_917;definition of word_917;synonym of word_917;noun;B1
word_918;definition of word_918;synonym of word_918;noun;C2
word_919;definition of word_919;synonym of word_919;noun;B1
word_920;definition of word_920;synonym of word_920;noun;C2
word_921;definition of word_921;synonym of word_921;noun;B1
word_922;definition of word_922;synonym of word_922;noun;C2
word_923;definition of word_923;synonym of word_923;noun;B1
word_924;definition of word_924;synonym of word_924;noun;C2
word_925;definition of word_925;synonym of word_925;noun;B1
word_926;definition of word_926;synonym of word_926;noun;C2
word_927;definition of word_927;synonym of word_927;noun;B1
word_928;definition of word_928;synonym of word_928;noun;C2
word_929;definition of word_929;synonym of word_929;noun;B1
word_930;definition of word_930;synonym of word_930;noun;C2
word_931;definition of word_931;synonym of word_931;noun;B1
word_932;definition of word_932;synonym of word_932;noun;C2
word_933;definition of word_933;synonym of word_933;noun;B1
word_934;definition of word_934;synonym of word_934;noun;C2
word_935;definition of word_935;synonym of word_935;noun;B1
word_936;definition of word_936;synonym of word_936;noun;C2
word_937;definition of word_937;synonym of word_937;noun;B1
word_938;definition of word_938;synonym of word_938;noun;C2
word_939;definition of word_939;synonym of word_939;noun;B1
word_940;definition of word_940;synonym of word_940;noun;C2
word_941;definition of word_941;synonym of word_941;noun;B1
word_942;definition of word_942;synonym of word_942;noun;C2
word_943;definition of word_943;synonym of word_943;noun;B1
word_944;definition of word_944;synonym of word_944;noun;C2
word_945;definition of word_945;synonym of word_945;noun;B1
word_946;definition of word_946;synonym of word_946;noun;C2
word_947;definition of word_947;synonym of word_947;noun;B1
word_948;definition of word_948;synonym of word_948;noun;C2
word_949;definition of word_949;synonym of word_949;noun;B1
word_950;definition of word_950;synonym of word_950;noun;C2
word_951;definition of word_951;synonym of word_951;noun;B1
word_952;definition of word_952;synonym of word_952;noun;C2
word_953;definition of word_953;synonym of word_953;noun;B1
word_954;definition of word_954;synonym of word_954;noun;C2
word_955;definition of word_955;synonym of word_955;noun;B1
word_956;definition of word_956;synonym of word_956;noun;C2
word_957;definition of word_957;synonym of word_957;noun;B1
word_958;definition of word_958;synonym of word_958;noun;C2
word_959;definition of word_959;synonym of word_959;noun;B1
word_960;definition of word_960;synonym of word_960;noun;C2
word_961;definition of word_961;synonym of word_961;noun;B1
word_962;definition of word_962;synonym of word_962;noun;C2
word_963;definition of word_963;synonym of word_963;noun;B1
word_964;definition of word_964;synonym of word_964;noun;C2
word_965;definition of word_965;synonym of word_965;noun;B1
word_966;definition of word_966;synonym of word_966;noun;C2
word_967;definition of word_967;synonym of word_967;noun;B1
word_968;definition of word_968;synonym of word_968;noun;C2
word_969;definition of word_969;synonym of word_969;noun;B1
word_970;definition of word_970;synonym of word_970;noun;C2
word_971;definition of word_971;synonym of word_971;noun;B1
word_972;definition of word_972;synonym of word_972;noun;C2
word_973;definition of word_973;synonym of word_973;noun;B1
word_974;definition of word_974;synonym of word_974;noun;C2
word_975;definition of word_975;synonym of word_975;noun;B1
word_976;definition of word_976;synonym of word_976;noun;C2
word_977;definition of word_977;synonym of word_977;noun;B1
word_978;definition of word_978;synonym of word_978;noun;C2
word_979;definition of word_979;synonym of word_979;noun;B1
word_980;definition of word_980;synonym of word_980;noun;C2
word_981;definition of word_981;synonym of word_981;noun;B1
word_982;definition of word_982;synonym of word_982;noun;C2
word_983;definition of word_983;synonym of word_983;noun;B1
word_984;definition of word_984;synonym of word_984;noun;C2
word_985;definition of word_985;synonym of word_985;noun;B1
word_986;definition of word_986;synonym of word_986;noun;C2
word_987;definition of word_987;synonym of word_987;noun;B1
word_988;definition of word_988;synonym of word_988;noun;C2
word_989;definition of word_989;synonym of word_989;noun;B1
word_990;definition of word_990;synonym of word_990;noun;C2
word_991;definition of word_991;synonym of word_991;noun;B1
word_992;definition of word_992;synonym of word_992;noun;C2
word_993;definition of word_993;synonym of word_993;noun;B1
word_994;definition of word_994;synonym of word_994;noun;C2
word_995;definition of word_995;synonym of word_995;noun;B1
word_996;definition of word_996;synonym of word_996;noun;C2
word_997;definition of word_997;synonym of word_997;noun;B1
word_998;definition of word_998;synonym of word_998;noun;C2
word_999;definition of word_999;synonym of word_999;noun;B1
word_1000;definition of word_1000;synonym of word_1000;noun;C2
word_1001;definition of word_1001;synonym of word_1001;noun;B1
word_1002;definition of word_1002;synonym of word_1002;noun;C2
word_1003;definition of word_1003;synonym of word_1003;noun;B1
word_1004;definition of word_1004;synonym of word_1004;noun;C2
word_1005;definition of word_1005;synonym of word_1005;noun;B1
word_1006;definition of word_1006;synonym of word_1006;noun;C2
word_1007;definition of word_1007;synonym of word_1007;noun;B1
word_1008;definition of word_1008;synonym of word_1008;noun;C2
word_1009;definition of word_1009;synonym of word_1009;noun;B1
word_1010;definition of word_1010;synonym of word_1010;noun;C2
word_1011;definition of word_1011;synonym of word_1011;noun;B1
word_1012;definition of word_1012;synonym of word_1012;noun;C2
word_1013;definition of word_1013;synonym of word_1013;noun;B1
word_1014;definition of word_1014;synonym of word_1014;noun;C2
word_1015;definition of word_1015;synonym of word_1015;noun;B1
word_1016;definition of word_1016;synonym of word_1016;noun;C2
word_1017;definition of word_1017;synonym of word_1017;noun;B1
word_1018;definition of word_1018;synonym of word_1018;noun;C2
word_1019;definition of word_1019;synonym of word_1019;noun;B1
word_1020;definition of word_1020;synonym of word_1020;noun;C2
word_1021;definition of word_1021;synonym of word_1021;noun;B1
word_1022;definition of word_1022;synonym of word_1022;noun;C2
word_1023;definition of word_1023;synonym of word_1023;noun;B1
word_1024;definition of word_1024;synonym of word_1024;noun;C2
word_1025;definition of word_1025;synonym of word_1025;noun;B1
word_1026;definition of word_1026;synonym of word_1026;noun;C2
word_1027;definition of word_1027;synonym of word_1027;noun;B1
word_1028;definition of word_1028;synonym of word_1028;noun;C2
word_1029;definition of word_1029;synonym of word_1029;noun;B1
word_1030;definition of word_1030;synonym of word_1030;noun;C2
word_1031;definition of word_1031;synonym of word_1031;noun;B1
word_1032;definition of word_1032;synonym of word_1032;noun;C2
word_1033;definition of word_1033;synonym of word_1033;noun;B1
word_1034;definition of word_1034;synonym of word_1034;noun;C2
word_1035;definition of word_1035;synonym of word_1035;noun;B1
word_1036;definition of word_1036;synonym of word_1036;noun;C2
word_1037;definition of word_1037;synonym of word_1037;noun;B1
word_1038;definition of word_1038;synonym of word_1038;noun;C2
word_1039;definition of word_1039;synonym of word_1039;noun;B1
word_1040;definition of word_1040;synonym of word_1040;noun;C2
word_1041;definition of word_1041;synonym of word_1041;noun;B1
word_1042;definition of word_1042;synonym of word_1042;noun;C2
word_1043;definition of word_1043;synonym of word_1043;noun;B1
word_1044;definition of word_1044;synonym of word_1044;noun;C2
word_1045;definition of word_1045;synonym of word_1045;noun;B1
word_1046;definition of word_1046;synonym of word_1046;noun;C2
word_1047;definition of word_1047;synonym of word_1047;noun;B1
word_1048;definition of word_1048;synonym of word_1048;noun;C2
word_1049;definition of word_1049;synonym of word_1049;noun;B1
word_1050;definition of word_1050;synonym of word_1050;noun;C2
word_1051;definition of word_1051;synonym of word_1051;noun;B1
word_1052;definition of word_1052;synonym of word_1052;noun;C2
word_1053;definition of word_1053;synonym of word_1053;noun;B1
word_1054;definition of word_1054;synonym of word_1054;noun;C2
word_1055;definition of word_1055;synonym of word_1055;noun;B1
word_1056;definition of word_1056;synonym of word_1056;noun;C2
word_1057;definition of word_1057;synonym of word_1057;noun;B1
word_1058;definition of word_1058;synonym of word_1058;noun;C2
word_1059;definition of word_1059;synonym of word_1059;noun;B1
word_1060;definition of word_1060;synonym of word_1060;noun;C2
word_1061;definition of word_1061;synonym of word_1061;noun;B1
word_1062;definition of word_1062;synonym of word_1062;noun;C2
word_1063;definition of word_1063;synonym of word_1063;noun;B1
word_1064;definition of word_1064;synonym of word_1064;noun;C2
word_1065;definition of word_1065;synonym of word_1065;noun;B1
word_1066;definition of word_1066;synonym of word_1066;noun;C2
word_1067;definition of word_1067;synonym of word_1067;noun;B1
word_1068;definition of word_1068;synonym of word_1068;noun;C2
word_1069;definition of word_1069;synonym of word_1069;noun;B1
word_1070;definition of word_1070;synonym of word_1070;noun;C2
word_1071;definition of word_1071;synonym of word_1071;noun;B1
word_1072;definition of word_1072;synonym of word_1072;noun;C2
word_1073;definition of word_1073;synonym of word_1073;noun;B1
word_1074;definition of word_1074;synonym of word_1074;noun;C2
word_1075;definition of word_1075;synonym of word_1075;noun;B1
word_1076;definition of word_1076;synonym of word_1076;noun;C2
word_1077;definition of word_1077;synonym of word_1077;noun;B1
word_1078;definition of word_1078;synonym of word_1078;noun;C2
word_1079;definition of word_1079;synonym of word_1079;noun;B1
word_1080;definition of word_1080;synonym of word_1080;noun;C2
word_1081;definition of word_1081;synonym of word_1081;noun;B1
word_1082;definition of word_1082;synonym of word_1082;noun;C2
word_1083;definition of word_1083;synonym of word_1083;noun;B1
word_1084;definition of word_1084;synonym of word_1084;noun;C2
word_1085;definition of word_1085;synonym of word_1085;noun;B1
word_1086;definition of word_1086;synonym of word_1086;noun;C2
word_1087;definition of word_1087;synonym of word_1087;noun;B1
word_1088;definition of word_1088;synonym of word_1088;noun;C2
word_1089;definition of word_1089;synonym of word_1089;noun;B1
word_1090;definition of word_1090;synonym of word_1090;noun;C2
word_1091;definition of word_1091;synonym of word_1091;noun;B1
word_1092;definition of word_1092;synonym of word_1092;noun;C2
word_1093;definition of word_1093;synonym of word_1093;noun;B1
word_1094;definition of word_1094;synonym of word_1094;noun;C2
word_1095;definition of word_1095;synonym of word_1095;noun;B1
word_1096;definition of word_1096;synonym of word_1096;noun;C2
word_1097;definition of word_1097;synonym of word_1097;noun;B1
word_1098;definition of word_1098;synonym of word_1098;noun;C2
word_1099;definition of word_1099;synonym of word_1099;noun;B1
word_1100;definition of word_1100;synonym of word_1100;noun;C2
word_1101;definition of word_1101;synonym of word_1101;noun;B1
word_1102;definition of word_1102;synonym of word_1102;noun;C2
word_1103;definition of word_1103;synonym of word_1103;noun;B1
word_1104;definition of word_1104;synonym of word_1104;noun;C2
word_1105;definition of word_1105;synonym of word_1105;noun;B1
word_1106;definition of word_1106;synonym of word_1106;noun;C2
word_1107;definition of word_1107;synonym of word_1107;noun;B1
word_1108;definition of word_1108;synonym of word_1108;noun;C2
word_1109;definition of word_1109;synonym of word_1109;noun;B1
word_1110;definition of word_1110;synonym of word_1110;noun;C2
word_1111;definition of word_1111;synonym of word_1111;noun;B1
word_1112;definition of word_1112;synonym of word_1112;noun;C2
word_1113;definition of word_1113;synonym of word_1113;noun;B1
word_1114;definition of word_1114;synonym of word_1114;noun;C2
word_1115;definition of word_1115;synonym of word_1115;noun;B1
word_1116;definition of word_1116;synonym of word_1116;noun;C2
word_1117;definition of word_1117;synonym of word_1117;noun;B1
word_1118;definition of word_1118;synonym of word_1118;noun;C2
word_1119;definition of word_1119;synonym of word_1119;noun;B1
word_1120;definition of word_1120;synonym of word_1120;noun;C2
word_1121;definition of word_1121;synonym of word_1121;noun;B1
word_1122;definition of word_1122;synonym of word_1122;noun;C2
word_1123;definition of word_1123;synonym of word_1123;noun;B1
word_1124;definition of word_1124;synonym of word_1124;noun;C2
word_1125;definition of word_1125;synonym of word_1125;noun;B1
word_1126;definition of word_1126;synonym of word_1126;noun;C2
word_1127;definition of word_1127;synonym of word_1127;noun;B1
word_1128;definition of word_1128;synonym of word_1128;noun;C2
word_1129;definition of word_1129;synonym of word_1129;noun;B1
word_1130;definition of word_1130;synonym of word_1130;noun;C2
word_1131;definition of word_1131;synonym of word_1131;noun;B1
word_1132;definition of word_1132;synonym of word_1132;noun;C2
word_1133;definition of word_1133;synonym of word_1133;noun;B1
word_1134;definition of word_1134;synonym of word_1134;noun;C2
word_1135;definition of word_1135;synonym of word_1135;noun;B1
word_1136;definition of word_1136;synonym of word_1136;noun;C2
word_1137;definition of word_1137;synonym of word_1137;noun;B1
word_1138;definition of word_1138;synonym of word_1138;noun;C2
word_1139;definition of word_1139;synonym of word_1139;noun;B1
word_1140;definition of word_1140;synonym of word_1140;noun;C2
word_1141;definition of word_1141;synonym of word_1141;noun;B1
word_1142;definition of word_1142;synonym of word_1142;noun;C2
word_1143;definition of word_1143;synonym of word_1143;noun;B1
word_1144;definition of word_1144;synonym of word_1144;noun;C2
word_1145;definition of word_1145;synonym of word_1145;noun;B1
word_1146;definition of word_1146;synonym of word_1146;noun;C2
word_1147;definition of word_1147;synonym of word_1147;noun;B1
word_1148;definition of word_1148;synonym of word_1148;noun;C2
word_1149;definition of word_1149;synonym of word_1149;noun;B1
word_1150;definition of word_1150;synonym of word_1150;noun;C2
word_1151;definition of word_1151;synonym of word_1151;noun;B1
word_1152;definition of word_1152;synonym of word_1152;noun;C2
word_1153;definition of word_1153;synonym of word_1153;noun;B1
word_1154;definition of word_1154;synonym of word_1154;noun;C2
word_1155;definition of word_1155;synonym of word_1155;noun;B1
word_1156;definition of word_1156;synonym of word_1156;noun;C2
word_1157;definition of word_1157;synonym of word_1157;noun;B1
word_1158;definition of word_1158;synonym of word_1158;noun;C2
word_1159;definition of word_1159;synonym of word_1159;noun;B1
word_1160;definition of word_1160;synonym of word_1160;noun;C2
word_1161;definition of word_1161;synonym of word_1161;noun;B1
word_1162;definition of word_1162;synonym of word_1162;noun;C2
word_1163;definition of word_1163;synonym of word_1163;noun;B1
word_1164;definition of word_1164;synonym of word_1164;noun;C2
word_1165;definition of word_1165;synonym of word_1165;noun;B1
word_1166;definition of word_1166;synonym of word_1166;noun;C2
word_1167;definition of word_1167;synonym of word_1167;noun;B1
word_1168;definition of word_1168;synonym of word_1168;noun;C2
word_1169;definition of word_1169;synonym of word_1169;noun;B1
word_1170;definition of word_1170;synonym of word_1170;noun;C2
word_1171;definition of word_1171;synonym of word_1171;noun;B1
word_1172;definition of word_1172;synonym of word_1172;noun;C2
word_1173;definition of word_1173;synonym of word_1173;noun;B1
word_1174;definition of word_1174;synonym of word_1174;noun;C2
word_1175;definition of word_1175;synonym of word_1175;noun;B1
word_1176;definition of word_1176;synonym of word_1176;noun;C2
word_1177;definition of word_1177;synonym of word_1177;noun;B1
word_1178;definition of word_1178;synonym of word_1178;noun;C2
word_1179;definition of word_1179;synonym of word_1179;noun;B1
word_1180;definition of word_1180;synonym of word_1180;noun;C2
word_1181;definition of word_1181;synonym of word_1181;noun;B1
word_1182;definition of word_1182;synonym of word_1182;noun;C2
word_1183;definition of word_1183;synonym of word_1183;noun;B1
word_1184;definition of word_1184;synonym of word_1184;noun;C2
word_1185;definition of word_1185;synonym of word_1185;noun;B1
word_1186;definition of word_1186;synonym of word_1186;noun;C2
word_1187;definition of word_1187;synonym of word_1187;noun;B1
word_1188;definition of word_1188;synonym of word_1188;noun;C2
word_1189;definition of word_1189;synonym of word_1189;noun;B1
word_1190;definition of word_1190;synonym of word_1190;noun;C2
word_1191;definition of word_1191;synonym of word_1191;noun;B1
word_1192;definition of word_1192;synonym of word_1192;noun;C2
word_1193;definition of word_1193;synonym of word_1193;noun;B1
word_1194;definition of word_1194;synonym of word_1194;noun;C2
word_1195;definition of word_1195;synonym of word_1195;noun;B1
word_1196;definition of word_1196;synonym of word_1196;noun;C2
word_1197;definition of word_1197;synonym of word_1197;noun;B1
word_1198;definition of word_1198;synonym of word_1198;noun;C2
word_1199;definition of word_1199;synonym of word_1199;noun;B1
word_1200;definition of word_1200;synonym of word_1200;noun;C2
word_1201;definition of word_1201;synonym of word_1201;noun;B1
word_1202;definition of word_1202;synonym of word_1202;noun;C2
word_1203;definition of word_1203;synonym of word_1203;noun;B1
word_1204;definition of word_1204;synonym of word_1204;noun;C2
word_1205;definition of word_1205;synonym of word_1205;noun;B1
word_1206;definition of word_1206;synonym of word_1206;noun;C2
word_1207;definition of word_1207;synonym of word_1207;noun;B1
word_1208;definition of word_1208;synonym of word_1208;noun;C2
word_1209;definition of word_1209;synonym of word_1209;noun;B1
word_1210;definition of word_1210;synonym of word_1210;noun;C2
word_1211;definition of word_1211;synonym of word_1211;noun;B1
word_1212;definition of word_1212;synonym of word_1212;noun;C2
word_1213;definition of word_1213;synonym of word_1213;noun;B1
word_1214;definition of word_1214;synonym of word_1214;noun;C2
word_1215;definition of word_1215;synonym of word_1215;noun;B1
word_1216;definition of word_1216;synonym of word_1216;noun;C2
word_1217;definition of word_1217;synonym of word_1217;noun;B1
word_1218;definition of word_1218;synonym of word_1218;noun;C2
word_1219;definition of word_1219;synonym of word_1219;noun;B1
word_1220;definition of word_1220;synonym of word_1220;noun;C2
word_1221;definition of word_1221;synonym of word_1221;noun;B1
word_1222;definition of word_1222;synonym of word_1222;noun;C2
word_1223;definition of word_1223;synonym of word_1223;noun;B1
word_1224;definition of word_1224;synonym of word_1224;noun;C2
word_1225;definition of word_1225;synonym of word_1225;noun;B1
word_1226;definition of word_1226;synonym of word_1226;noun;C2
word_1227;definition of word_1227;synonym of word_1227;noun;B1
word_1228;definition of word_1228;synonym of word_1228;noun;C2
word_1229;definition of word_1229;synonym of word_1229;noun;B1
word_1230;definition of word_1230;synonym of word_1230;noun;C2
word_1231;definition of word_1231;synonym of word_1231;noun;B1
word_1232;definition of word_1232;synonym of word_1232;noun;C2
word_1233;definition of word_1233;synonym of word_1233;noun;B1
word_1234;definition of word_1234;synonym of word_1234;noun;C2
word_1235;definition of word_1235;synonym of word_1235;noun;B1
word_1236;definition of word_1236;synonym of word_1236;noun;C2
word_1237;definition of word_1237;synonym of word_1237;noun;B1
word_1238;definition of word_1238;synonym of word_1238;noun;C2
word_1239;definition of word_1239;synonym of word_1239;noun;B1
word_1240;definition of word_1240;synonym of word_1240;noun;C2
word_1241;definition of word_1241;synonym of word_1241;noun;B1
word_1242;definition of word_1242;synonym of word_1242;noun;C2
word_1243;definition of word_1243;synonym of word_1243;noun;B1
word_1244;definition of word_1244;synonym of word_1244;noun;C2
word_1245;definition of word_1245;synonym of word_1245;noun;B1
word_1246;definition of word_1246;synonym of word_1246;noun;C2
word_1247;definition of word_1247;synonym of word_1247;noun;B1
word_1248;definition of word_1248;synonym of word_1248;noun;C2
word_1249;definition of word_1249;synonym of word_1249;noun;B1
word_1250;definition of word_1250;synonym of word_1250;noun;C2
word_1251;definition of word_1251;synonym of word_1251;noun;B1
word_1252;definition of word_1252;synonym of word_1252;noun;C2
word_1253;definition of word_1253;synonym of word_1253;noun;B1
word_1254;definition of word_1254;synonym of word_1254;noun;C2
word_1255;definition of word_1255;synonym of word_1255;noun;B1
word_1256;definition of word_1256;synonym of word_1256;noun;C2
word_1257;definition of word_1257;synonym of word_1257;noun;B1
word_1258;definition of word_1258;synonym of word_1258;noun;C2
word_1259;definition of word_1259;synonym of word_1259;noun;B1
word_1260;definition of word_1260;synonym of word_1260;noun;C2
word_1261;definition of word_1261;synonym of word_1261;noun;B1
word_1262;definition of word_1262;synonym of word_1262;noun;C2
word_1263;definition of word_1263;synonym of word_1263;noun;B1
word_1264;definition of word_1264;synonym of word_1264;noun;C2
word_1265;definition of word_1265;synonym of word_1265;noun;B1
word_1266;definition of word_1266;synonym of word_1266;noun;C2
word_1267;definition of word_1267;synonym of word_1267;noun;B1
word_1268;definition of word_1268;synonym of word_1268;noun;C2
word_1269;definition of word_1269;synonym of word_1269;noun;B1
word_1270;definition of word_1270;synonym of word_1270;noun;C2
word_1271;definition of word_1271;synonym of word_1271;noun;B1
word_1272;definition of word_1272;synonym of word_1272;noun;C2
word_1273;definition of word_1273;synonym of word_1273;noun;B1
word_1274;definition of word_1274;synonym of word_1274;noun;C2
word_1275;definition of word_1275;synonym of word_1275;noun;B1
word_1276;definition of word_1276;synonym of word_1276;noun;C2
word_1277;definition of word_1277;synonym of word_1277;noun;B1
word_1278;definition of word_1278;synonym of word_1278;noun;C2
word_1279;definition of word_1279;synonym of word_1279;noun;B1
word_1280;definition of word_1280;synonym of word_1280;noun;C2
word_1281;definition of word_1281;synonym of word_1281;noun;B1
word_1282;definition of word_1282;synonym of word_1282;noun;C2
word_1283;definition of word_1283;synonym of word_1283;noun;B1
word_1284;definition of word_1284;synonym of word_1284;noun;C2
word_1285;definition of word_1285;synonym of word_1285;noun;B1
word_1286;definition of word_1286;synonym of word_1286;noun;C2
word_1287;definition of word_1287;synonym of word_1287;noun;B1
word_1288;definition of word_1288;synonym of word_1288;noun;C2
word_1289;definition of word_1289;synonym of word_1289;noun;B1
word_1290;definition of word_1290;synonym of word_1290;noun;C2
word_1291;definition of word_1291;synonym of word_1291;noun;B1
word_1292;definition of word_1292;synonym of word_1292;noun;C2
